Detected_Frame -> [ Distance , Curvature ] [avg_Dist_4]
1 -> [ 51 , 18 ]  -> [ 0 ] 
2 -> [ 51 , 18 ]  -> [ 0 ] 
3 -> [ 51 , 18 ]  -> [ 0 ] 
4 -> [ 51 , 18 ]  -> [ 51 ] 
5 -> [ 51 , 18 ]  -> [ 51 ] 
6 -> [ 51 , 18 ]  -> [ 51 ] 
7 -> [ 51 , 18 ]  -> [ 51 ] 
8 -> [ 52 , 17 ]  -> [ 51 ] 
9 -> [ 51 , 18 ]  -> [ 51 ] 
10 -> [ 51 , 18 ]  -> [ 51 ] 
11 -> [ 51 , 18 ]  -> [ 51 ] 
12 -> [ 52 , 17 ]  -> [ 51 ] 
13 -> [ 52 , 17 ]  -> [ 51 ] 
14 -> [ 53 , 17 ]  -> [ 51 ] 
15 -> [ 75 , 30 ]  -> [ 51 ] 
16 -> [ 58 , 15 ]  -> [ 59 ] 
17 -> [ 59 , 15 ]  -> [ 59 ] 
18 -> [ 59 , 15 ]  -> [ 59 ] 
19 -> [ 15 , 28 ]  -> [ 59 ] 
20 -> [ 12 , 30 ]  -> [ 36 ] 
21 -> [ 9 , 30 ]  -> [ 36 ] 
22 -> [ 20 , 27 ]  -> [ 36 ] 
23 -> [ 26 , 25 ]  -> [ 36 ] 
24 -> [ 26 , 25 ]  -> [ 20 ] 
25 -> [ 43 , 20 ]  -> [ 20 ] 
26 -> [ 43 , 20 ]  -> [ 20 ] 
27 -> [ 46 , 18 ]  -> [ 20 ] 
28 -> [ 47 , 18 ]  -> [ 44 ] 
29 -> [ 48 , 17 ]  -> [ 44 ] 
30 -> [ 68 , 30 ]  -> [ 44 ] 
31 -> [ 51 , 15 ]  -> [ 44 ] 
32 -> [ 50 , 15 ]  -> [ 54 ] 
33 -> [ 50 , 15 ]  -> [ 54 ] 
34 -> [ 50 , 15 ]  -> [ 54 ] 
35 -> [ 50 , 15 ]  -> [ 54 ] 
36 -> [ 51 , 14 ]  -> [ 50 ] 
37 -> [ 51 , 14 ]  -> [ 50 ] 
